Node	P	Q	I	Name	Desc
2022	0.108177	0.007380	617.775085	TRANS_700000172133902	明珠站.闸口变电所专变
2157	0.081300	0.003450	459.000000	TRANS_700000601701202	明珠站.中建材#2专变
2021	0.044914	0.001943	260.571442	TRANS_700000587386702	明珠站.新兴物流#1专变
2145	0.021200	0.007000	138.000000	TRANS_709440212715500	明珠站.特区建工临时总部#2专变（箱式）
2054	0.171710	0.011714	980.595337	TRANS_700000861835602	明珠站.北区闸口综合楼专变
2037	0.029341	0.005055	176.923080	TRANS_709220195510700	明珠站.海格物流#3专变
2066	0.017171	0.001171	98.059532	TRANS_700000861840102	明珠站.保税物流园北区#2专变
2064	0.023473	0.004044	141.538467	TRANS_709220195512700	明珠站.海格物流#2专变
2143	0.003800	0.004300	26.000000	TRANS_709440237575200	明珠站.幸福科技大厦临时施工专变（箱式）
2110	0.017171	0.001171	98.059532	TRANS_700000861842402	明珠站.保税物流园北区#3专变
2150	0.048200	0.010800	314.000000	TRANS_709440203837500	明珠站.特区建工临时总部专变（箱式）
2020	0.056143	0.002429	325.714294	TRANS_700000587386502	明珠站.新兴物流#2专变
2140	0.017171	0.001171	98.059532	TRANS_700000861838102	明珠站.保税物流园北区#1专变
2086	0.081300	0.003450	459.000000	TRANS_700000601700002	明珠站.中建材#1专变
2015	0.022080	0.012880	136.000000	TRANS_709220322097900	明珠站.盐田金马车管所专变(箱式)
2126	0.056143	0.002429	325.714294	TRANS_700000587386202	明珠站.新兴物流#3专变
2117	0.000600	0.000120	0.800000	TRANS_709220337247200	明珠站.明珠立交公变（箱式）
2151	0.109800	0.028500	619.500000	TRANS_700000587466902	明珠站.中海物流#2专变
2120	0.000064	0.000000	0.240000	TRANS_709440167756800	明珠站.盐田金马消防站专变（箱式）
2050	0.037556	0.006470	226.461533	TRANS_709220195509700	明珠站.海格物流#4专变
2105	0.029341	0.005055	176.923080	TRANS_709220195511700	明珠站.海格物流#1专变
3667	0.042437	0.001622	239.439346	TRANS_709440191442500	明珠站.北山交通设施充电桩二层#2专变
3669	0.033154	0.001267	187.061996	TRANS_709440191444700	明珠站.北山交通设施充电桩地下专变
3630	0.026523	0.001013	149.649597	TRANS_709440191462000	明珠站.北山交通设施充电桩七层#1专变
3674	0.042437	0.001622	239.439346	TRANS_709440191446200	明珠站.北山交通设施充电桩五层#1专变
3611	0.042437	0.001622	239.439346	TRANS_709440191464400	明珠站.北山交通设施充电桩三层#1专变
3601	0.026523	0.001013	149.649597	TRANS_709440191462700	明珠站.北山交通设施充电桩七层#2专变
3606	0.042437	0.001622	239.439346	TRANS_709440191458300	明珠站.北山交通设施充电桩四层#2专变
3621	0.042437	0.001622	239.439346	TRANS_709440191468100	明珠站.北山交通设施充电桩三层#2专变
3653	0.042437	0.001622	239.439346	TRANS_709440191441800	明珠站.北山交通设施充电桩二层#1专变
3663	0.033154	0.001267	187.061996	TRANS_709440191470500	明珠站.北山交通设施充电桩六层#2专变
3604	0.033154	0.001267	187.061996	TRANS_709440191468800	明珠站.北山交通设施充电桩六层#1专变
3679	0.042437	0.001622	239.439346	TRANS_709440191456600	明珠站.北山交通设施充电桩四层#1专变
3658	0.127200	-0.027000	858.000000	TRANS_709440191686700	明珠站.北山交通设施商业地下专变
3638	0.042437	0.001622	239.439346	TRANS_709440191446900	明珠站.北山交通设施充电桩五层#2专变
13476	0.135750	0.037650	853.500000	TRANS_700000601056202	盐田临时站.正佳物流#1专变
13531	-0.031350	0.028950	-222.000000	TRANS_700000625856602	盐田临时站.顺泰仓物流#1专变
13480	0.013798	0.003015	89.282211	TRANS_709220242488000	盐田临时站.腾邦物流#2专变
13516	0.026933	-0.000267	144.000000	TRANS_709440238380700	盐田临时站.深国际物流#2专变
13526	0.026933	-0.000267	144.000000	TRANS_709440238374600	盐田临时站.深国际物流#3专变
13495	0.043211	-0.003633	241.177917	TRANS_700000625263102	盐田临时站.北区中天元物流园#2专变
13486	0.012300	0.000750	67.500000	TRANS_709220090878800	盐田临时站.深圳能源物流#1专变
13457	0.013798	0.003015	89.282211	TRANS_709220242487000	盐田临时站.腾邦物流#1专变
13442	0.021902	0.004785	141.717789	TRANS_709220242490000	盐田临时站.腾邦物流#4专变
13489	0.029200	-0.000300	170.000000	TRANS_700000610311102	盐田临时站.中远物流专变
13537	0.026933	-0.000267	144.000000	TRANS_709440238378600	盐田临时站.深国际物流#1专变
13536	0.277200	0.019200	1564.000000	TRANS_700000879828402	盐田临时站.保北四栋专变
13529	0.021902	0.004785	141.717789	TRANS_709220242489000	盐田临时站.腾邦物流#3专变
13426	0.012300	0.000750	67.500000	TRANS_709220090879800	盐田临时站.深圳能源物流#2专变
13465	0.068589	-0.005767	382.822083	TRANS_700000625263002	盐田临时站.北区中天元物流园#1专变
13481	0.006000	-0.002000	52.000000	TRANS_709440238291800	盐田临时站.深国际物流充电桩专变
