node_id,cluster_index
114560315521280313_1,0
114560315521280313_2,0
114560315521280514_1,0
114560315521280514_2,0
114560315521280515_1,0
114560315521280515_2,0
114560315521280516_1,0
114560315521280516_2,0
114560315521280517_1,0
114560315521280517_2,0
114560315521280518_1,0
114560315521280518_2,0
114560315521280519_2,0
114560315521280622_1,0
114560315521280622_2,0
114560315521280623_1,0
114560315521280623_2,0
114560315521280624_1,0
114560315521280624_2,0
114560315521280625_1,0
114560315521280625_2,0
114841790497990012_1,0
114841790497990013_1,0
115404740451372579_1,0
115404740451372580_1,0
116530640358211726_1,0
116530640358211729_1,0
116530640358213871_1,0
116530640358214155_1,0
117093590311634569_1,0
117093590311634570_1,0
114841790497996640_1,1
114841790497996641_2,1
117093590311634569_4,1
114560315521239105_1,2
114560315521239105_2,2
114560315521239107_1,2
114560315521239107_2,2
114560315521239108_1,2
114560315521239108_2,2
114560315521262078_1,2
114560315521262078_2,2
114560315521262079_1,2
114560315521262079_2,2
114560315521280618_2,2
114560315521280619_1,2
114560315521280619_2,2
114560315521280620_1,2
114560315521280620_2,2
114560315521280621_2,2
114560315521280697_1,2
114560315521280697_2,2
114560315521280698_1,2
114560315521280698_2,2
114841790497950800_1,2
114841790497950809_1,2
115404740451369195_1,2
115404740451369196_1,2
116530640358211726_2,2
116530640358211729_2,2
116530640358214083_2,2
116530640358214084_2,2
117093590311633001_1,2
117093590311633002_1,2
